             Return
             Loss     Reflected   Transmiss.
       VSWR  (dB)     Power (%)   Loss (dB)
       ~~~~  ~~~~     ~~~~~~~~~   ~~~~~~~~~~
       1.00   oo      0.000       0.0000  
       1.01  46.1     0.005       0.0002
       1.02  40.1     0.010       0.0005  
       1.03  36.6     0.022       0.0011 
       1.04  34.1     0.040       0.0018 
       1.05  32.3     0.060       0.0028 
       1.06  30.7     0.082       0.0039 
       1.07  29.4     0.116       0.0051 
       1.08  28.3     0.144       0.0066 
       1.09  27.3     0.184       0.0083  
       1.10  26.4     0.228       0.0100  
       1.11  25.6     0.276       0.0118  
       1.12  24.9     0.324       0.0139 
       1.13  24.3     0.375       0.0160  
       1.14  23.7     0.426       0.0185
       1.15  23.1     0.488       0.0205 
       1.16  22.6     0.550       0.0235  
       1.17  22.1     0.615       0.0260
       1.18  21.6     0.682       0.0285
       1.19  21.2     0.750       0.0318
       1.20  20.8     0.816       0.0353
       1.21  20.4     0.90        0.0391
       1.22  20.1     0.98        0.0426
       1.23  19.7     1.08        0.0455 
       1.24  19.4     1.15        0.049 
       1.25  19.1     1.23        0.053 
       1.26  18.8     1.34        0.056
       1.27  18.5     1.43        0.060
       1.28  18.2     1.52        0.064 
       1.29  17.9     1.62        0.068
       1.30  17.7     1.71        0.073
       1.31  17.4     1.81        0.078
       1.32  17.2     1.91        0.083
       1.33  17.0     2.02        0.087
       1.34  16.8     2.13        0.092
       1.35  16.5     2.23        0.096
       1.36  16.3     2.33        0.101
       1.37  16.1     2.44        0.106
       1.38  15.9     2.55        0.112
       1.39  15.7     2.67        0.118
       1.40  15.6     2.78        0.122
       1.41  15.4     2.90        0.126
       1.42  15.2     3.03        0.132
       1.43  15.0     3.14        0.137
       1.44  14.9     3.28        0.142
       1.45  14.7     3.38        0.147
       1.46  14.6     3.50        0.152
       1.47  14.5     3.62        0.157
       1.48  14.3     3.74        0.164
       1.49  14.2     3.87        0.172
       1.50  14.0     4.00        0.18
       1.55  13.3     4.80        0.21
       1.60  12.6     5.50        0.20
       1.65  12.2     6.20        0.27
       1.70  11.7     6.80        0.31
       1.75  11.3     7.40        0.34
       1.80  10.9     8.20        0.37
       1.85  10.5     8.90        0.40
       1.90  10.2     9.60        0.44
       1.95   9.8    10.2         0.47
       2.00   9.5    11.0         0.50
       2.10   9.0    12.4         0.57
       2.20   8.6    13.8         0.65
       2.30   8.2    15.3         0.73
       2.40   7.7    16.6         0.80
       2.50   7.3    18.0         0.88
       2.60   7.0    19.5         0.95
       2.70   6.7    20.8         1.03
       2.80   6.5    22.3         1.10
       2.90   6.2    23.7         1.17
       3.00   6.0    24.9         1.25
       3.50   5.1    31.0         1.61
       4.00   4.4    36.0         1.93
       4.50   3.9    40.6         2.27
       5.00   3.5    44.4         2.56
       6.00   2.9    50.8         3.08
